step_id,phase,activity,detailed_instruction,input_artifacts,output_artifacts,tool_or_method,dependency,quality_check,status,notes
01,Research setup,Define scope and dimensions,"List the final prompt dimensions to be created. Confirmed dimensions: general purpose, icons creation, illustrations, PowerPoint, and UI. Use only these five dimensions for final prompt production.",Project goal; known Bosch visual needs,dimension_inventory.md or dimension_inventory.json,Manual planning + Copilot,None,Five dimensions are explicitly named; each has a clear use case and expected output type.,to_do,Keep the structure modular so each dimension can become one prompt file later.
02,Research,Research Bosch Brand Guide,"Use Copilot Researcher to collect the necessary information from Bosch Brand Guide materials, focusing on visual identity, colors, typography, logo usage, tone, layout principles, imagery, and brand constraints.",Bosch Brand Guide sources,bosch_brand_guide_research_notes.md,Copilot Researcher,Step 01,Findings are traceable to source names or URLs when available; no unsupported assumptions are added.,to_do,Capture practical rules that can later become AI-readable constraints.
03,Research,Research Bosch Digital Design System,"Use Copilot Researcher to collect the necessary information from the Bosch Digital Design System, focusing on components, spacing, grid, color usage, accessibility, interaction patterns, icons, illustration style, UI patterns, and presentation-relevant guidance.",Bosch Digital Design System sources,bosch_dds_research_notes.md,Copilot Researcher,Step 01,Findings cover reusable design principles and dimension-specific rules; source traceability is preserved.,to_do,Prioritize rules that affect prompt writing and image generation.
04,Normalization,Translate research findings into AI-readable JSON,"Convert the consolidated Bosch Brand Guide and Bosch Digital Design System findings into a structured JSON file that an AI agent can read later. Use clear keys for principles, constraints, allowed elements, forbidden elements, examples, and source references.",bosch_brand_guide_research_notes.md; bosch_dds_research_notes.md,bosch_research_base.json,AI run in Copilot or another LLM,Steps 02 and 03,JSON is valid; keys are consistent; no duplicated rules; every major rule has context or rationale.,to_do,This file becomes the foundation for all later prompt dimensions.
05,Raw content collection,Collect unstructured Bosch DDS content,"Go to the Bosch Digital Design website. For each relevant page or section, select as much content as possible using Ctrl+A, copy with Ctrl+C, and paste into VS Code as plain text. Save one raw text file per topic or section when possible.",Bosch Digital Design website pages,raw_dds_text_folder/*.txt,Browser + VS Code plain text files,Step 03,Each file has a meaningful filename; pasted text is readable; source page name or URL is recorded at the top of each file when possible.,to_do,This is intentionally unstructured. The next steps will transform it.
06,File organization,Group raw content by dimension,Sort or tag the raw DDS text files by the five final dimensions. Keep one folder or file list per dimension so the AI run can process only the relevant source material for that dimension.,raw_dds_text_folder/*.txt; dimension_inventory.json,dimension_source_map.csv,Manual organization + AI assistance if needed,Steps 01 and 05,Every source file is mapped to at least one dimension or marked as common aesthetics; no important DDS content is left unmapped.,to_do,A file can belong to more than one dimension if it contains reusable rules.
07,Common standards,Create common aesthetics JSON,"Create a JSON file that contains rules shared across all dimensions. Include the default white background rule for all generated images, unless the user explicitly overrides it at the end of a prompt. Include guidance for user tweak areas and quick human reminders using emojis.",bosch_research_base.json; common raw DDS content; user preferences,common_aesthetics.json,AI run,Steps 04 and 06,The white background rule is explicit; override logic is clear; human reminder blocks are short and easy to scan.,to_do,"Default rule: all generated images must use a white background for easy copy, paste, crop, and cutout workflows."
08,Dimension JSON creation,Create general purpose JSON,"Run AI over the relevant grouped files to extract Bosch-compliant rules for general-purpose image generation. Output a structured JSON containing visual style, brand constraints, layout rules, default background behavior, and prompt-ready language.",bosch_research_base.json; common_aesthetics.json; general_purpose source files,general_purpose.json,AI run,Steps 06 and 07,JSON is valid; it references common_aesthetics.json; it avoids contradicting Bosch brand and DDS rules.,to_do,This will later become the general-purpose Bosch prompt.
09,Dimension JSON creation,Create icons JSON,"Run AI over the relevant grouped files to extract Bosch-compliant rules for icon creation. Include icon geometry, stroke style, line weight, corner behavior, simplicity level, color usage, accessibility, and forbidden treatments.",bosch_research_base.json; common_aesthetics.json; icons source files,icons.json,AI run,Steps 06 and 07,JSON clearly describes how Bosch icons should look and how they should not look; examples are abstracted into reusable rules.,to_do,Use this for prompts that generate icon sets or single icons.
10,Dimension JSON creation,Create illustrations JSON,"Run AI over the relevant grouped files to extract Bosch-compliant rules for illustrations. Include composition, shape language, color palette, depth, detail level, people/object depiction, technical realism, and brand consistency.",bosch_research_base.json; common_aesthetics.json; illustrations source files,illustrations.json,AI run,Steps 06 and 07,JSON can guide an AI to generate Bosch-style illustrations without relying on vague terms only.,to_do,Keep white background as default unless explicitly overridden by the user.
11,Dimension JSON creation,Create PowerPoint JSON,"Run AI over the relevant grouped files to extract Bosch-compliant rules for PowerPoint or presentation image generation. Include slide hierarchy, layout, whitespace, typography behavior, use of visuals, charts, icons, colors, and executive readability.",bosch_research_base.json; common_aesthetics.json; PowerPoint source files,powerpoint.json,AI run,Steps 06 and 07,Rules support clean presentation visuals; guidance is specific enough to generate slide-like images following Bosch guidelines.,to_do,Useful for generating images of PowerPoint slides or presentation panels.
12,Dimension JSON creation,Create UI JSON,"Run AI over the relevant grouped files to extract Bosch-compliant rules for UI generation. Include components, spacing, grids, interaction states, typography, colors, accessibility, forms, dashboards, mobile and desktop patterns.",bosch_research_base.json; common_aesthetics.json; UI source files,ui.json,AI run,Steps 06 and 07,"Rules are compatible with Bosch DDS; UI guidance distinguishes desktop, mobile, dashboard, and form contexts when possible.",to_do,Use for AI-generated UI mockups and interface screens.
13,Schema consistency,Validate all JSON files,"Check all JSON files for valid syntax, consistent structure, clear naming, non-contradictory rules, and references to common_aesthetics.json where applicable.",common_aesthetics.json; all dimension JSON files,json_validation_report.md,JSON validator + AI review,Steps 07 to 12,All JSON files parse successfully; shared rules are not duplicated unnecessarily; dimension-specific rules are clearly separated.,to_do,This prevents broken prompt generation later.
14,Prompt generation,Create prompt template structure,"Design a reusable prompt template that imports or references one dimension JSON plus common_aesthetics.json. Include sections for objective, Bosch rules, output format, image constraints, default white background rule, user override area, and human reminder emojis.",common_aesthetics.json; validated dimension JSON files,prompt_template.md,AI run,Step 13,Template is reusable across all dimensions; override area is visible; white background rule is included by default.,to_do,"Human reminders can include quick scan markers such as: ⚪ background, 🛠️ tweaks, 🚫 avoid, ✅ must-have."
15,Prompt generation,Generate one empty prompt file per dimension,"Create one prompt file for each dimension using the validated dimension JSON and common_aesthetics.json. The prompt files can be delivered as empty or partially scaffolded files, ready to be filled or refined later.",prompt_template.md; common_aesthetics.json; all dimension JSON files,prompt_general_purpose.md; prompt_icons.md; prompt_illustrations.md; prompt_powerpoint.md; prompt_ui.md,AI run,Step 14,Each final prompt file references the correct JSON sources; each includes a human tweak section and default white background instruction.,to_do,These are the final five prompt files to guide Bosch-compliant image generation.
16,Testing,Run prompt tests for each dimension,"Use each prompt to generate a test output: general image, icon, illustration, PowerPoint-style image, and UI mockup. Compare the generated results against the Bosch rules and common aesthetics rules.",five prompt files; common_aesthetics.json; dimension JSON files,prompt_test_outputs/; prompt_test_review.md,Image generation AI + manual review,Step 15,"Outputs follow Bosch style, use white background by default, and remain editable or easy to crop when needed.",to_do,"If the output deviates, adjust the JSON standard first, then regenerate the prompt."
17,Iteration,Refine JSON and prompts based on test results,"Update dimension JSON files, common_aesthetics.json, and prompt files based on observed failures, ambiguity, or missing rules from the test outputs.",prompt_test_review.md; generated outputs; current JSON and prompt files,revised JSON files; revised prompt files; changelog.md,AI review + manual editing,Step 16,Every change has a reason; repeated failures are converted into explicit prompt rules or JSON constraints.,to_do,Maintain traceability with a simple changelog.
18,Packaging,Package the final prompt system,"Organize the final files into a clean folder structure with research notes, raw data, JSON standards, final prompts, tests, and changelog. Add a README explaining how to use the system.","All final research notes, JSON files, prompt files, test outputs, and changelog",bosch_dds_prompt_system_folder; README.md,Manual organization + AI assistance,Step 17,Another AI or researcher can understand the system with minimal context; folder and file names are consistent.,to_do,This final package should be compact enough to reuse in future AI sessions.


We need to add references when necessary on the prompt. And I need a human emoji at the end of each prompt to remember me about that with some references so the AI can be more accurate. 
