id,study_id,palace_number,title,character_name,image_rel_path,depth_slots_used,image_prompt,palace_notes
PALACE_AI_01,STUDY_AI,1,Foundations & Semantic Interoperability,(unassigned palace 1),practice/images/AI/1.png,3,,
PALACE_AI_02,STUDY_AI,2,The Semantic Layer & RAG Structure,Ada Lovelace,practice/images/AI/2.png,5,,
PALACE_AI_03,STUDY_AI,3,AI Pricing & Elo Mechanics,Michael Jackson,practice/images/AI/3.jpg,1,,file:///C:/Users/eduev/AppData/Local/Temp/palace_dashboard.html?t=318971546
PALACE_COMMUNICATIO_01,STUDY_COMMUNICATIO,1,The Foundations of Rhetoric,(unassigned palace 1),practice/images/communication/1.png,3,,
PALACE_COMMUNICATIO_02,STUDY_COMMUNICATIO,2,Leading the Business and Others,(unassigned palace 2),practice/images/communication/2.png,5,,
PALACE_COMMUNICATIO_03,STUDY_COMMUNICATIO,3,Leading Myself,Alan Turing,practice/images/communication/3.png,5,"an original fictional 1940s mathematician who resembles a young intellectual in a tweed suit, holding a mechanical cipher component - not any real or named historical person; Depth slot 1 ForegroundLeft: A brutish Neanderthal relentlessly smashing a broken stone tablet; Depth slot 2 MidgroundRight: A skyscraper-sized owl perched on a midground brick wall chewing rubber pages; Depth slot 3 BackgroundCenter: A sleek panther pacing at the far end bleeding neon paint; Depth slot 4 Aerial: A colossal marmoset balancing on a street lamp scrubbing its brain; Depth slot 5 ForegroundRight: A microscopic rat wearing a tiny gold crown strutting on the curb and screaming.",
PALACE_ENGLISH_01,STUDY_ENGLISH,1,Cleft Sentences & It-Clefts,(unassigned palace 1),practice/images/english/1.png,4,,
PALACE_ENGLISH_02,STUDY_ENGLISH,2,Wh-Clefts & Rules,(unassigned palace 2),practice/images/english/2.png,5,,
PALACE_ENGLISH_03,STUDY_ENGLISH,3,Special Variations,(unassigned palace 3),practice/images/english/3.png,2,,
PALACE_ENGLISH_04,STUDY_ENGLISH,4,Ellipsis & Substitution Basics,(unassigned palace 4),practice/images/english/4.png,5,,
PALACE_ENGLISH_05,STUDY_ENGLISH,5,Advanced Application,(unassigned palace 5),practice/images/english/5.png,2,,
PALACE_ENGLISH_06,STUDY_ENGLISH,6,Discourse Markers (Result & Reason),(unassigned palace 6),practice/images/english/6.png,4,,
PALACE_ENGLISH_07,STUDY_ENGLISH,7,Participle Definitions & Active Forms,Glossonauta,practice/images/english/7.png,5,,
PALACE_ENGLISH_08,STUDY_ENGLISH,8,Consequences & Past Forms,(unassigned palace 8),practice/images/english/8.png,5,,
PALACE_ENGLISH_09,STUDY_ENGLISH,9,Passive & Mistakes,(unassigned palace 9),practice/images/english/9.png,2,,
PALACE_ENGLISH_10,STUDY_ENGLISH,10,Nominalization & Definitions,(unassigned palace 10),practice/images/english/10.png,5,,
PALACE_ENGLISH_11,STUDY_ENGLISH,11,Prefixes & Suffixes Definitions,Hermione Granger,practice/images/english/11.png,5,,
PALACE_ENGLISH_12,STUDY_ENGLISH,12,"Negation, Mistakes, & Time",(unassigned palace 12),practice/images/english/12.png,5,,
PALACE_ENGLISH_13,STUDY_ENGLISH,13,Suprasegmental Basics,(unassigned palace 13),practice/images/english/13.png,5,,
PALACE_ENGLISH_14,STUDY_ENGLISH,14,Pitch and Notation,(unassigned palace 14),practice/images/english/14.png,2,,
PALACE_ENGLISH_15,STUDY_ENGLISH,15,Rhythm and Flow,(unassigned palace 15),practice/images/english/15.png,4,,
PALACE_ENGLISH_16,STUDY_ENGLISH,16,Connected Speech & Assimilation,(unassigned palace 16),practice/images/english/16.png,5,,
PALACE_ENGLISH_17,STUDY_ENGLISH,17,Elision & Intrusion Rules,(unassigned palace 17),practice/images/english/17.png,2,,
PALACE_ENGLISH_18,STUDY_ENGLISH,18,Syllabic Consonants,(unassigned palace 18),practice/images/english/18.png,3,,
PALACE_GERMAN_01,STUDY_GERMAN,1,Re-tuned Mouth Moves,Ada Lovelace,practice/images/german/1.png,5,,
PALACE_GERMAN_02,STUDY_GERMAN,2,Deep German Sounds,Johann Sebastian Bach,practice/images/german/2.png,3,,
PALACE_GERMAN_03,STUDY_GERMAN,3,Shifted Placements and Rounded Vowels,Glossonauta,practice/images/german/3.png,5,,
PALACE_GERMAN_04,STUDY_GERMAN,4,Drops and Fast Diphthongs,(unassigned palace 4),practice/images/german/4.png,4,,
PALACE_GERMAN_05,STUDY_GERMAN,5,Compound Stress and Consonants,Harry Potter,practice/images/german/5.png,5,,
PALACE_GERMAN_06,STUDY_GERMAN,6,Vowel Length Rules,Wolfgang Amadeus Mozart,practice/images/german/6.png,2,,
PALACE_GERMAN_07,STUDY_GERMAN,7,Consonant Limits and Vowel Reductions,(unassigned palace 7),practice/images/german/7.png,5,,
PALACE_GERMAN_08,STUDY_GERMAN,8,The German R Variations,(unassigned palace 8),practice/images/german/8.png,3,,
PALACE_PIANO_01,STUDY_PIANO,1,Keyboard Map and Reading System,Wolfgang Amadeus Mozart,practice/images/piano/1.png,5,,
PALACE_PIANO_02,STUDY_PIANO,2,Note Values and Relaxed Hand,Claude Debussy,practice/images/piano/2.png,5,,
PALACE_PIANO_03,STUDY_PIANO,3,Practice Structure and Scale Steps,Frédéric Chopin,practice/images/piano/3.png,5,,
PALACE_PIANO_04,STUDY_PIANO,4,"Key Choice, Chords, and Pedal",Alan Turing,practice/images/piano/4.png,3,,
PALACE_PIANO_05,STUDY_PIANO,5,Chord Construction and Types,Ada Lovelace,practice/images/piano/5.png,5,,
PALACE_PIANO_06,STUDY_PIANO,6,Chord Positions and Harmony Basics,(unassigned palace 6),practice/images/piano/6.png,5,,
PALACE_PIANO_07,STUDY_PIANO,7,Musical Structure,(unassigned palace 7),practice/images/piano/7.png,3,,
PALACE_PIANO_08,STUDY_PIANO,8,Reading Spaces and Resolution,Marilyn Monroe,practice/images/piano/8.png,3,,
PALACE_PIANO_09,STUDY_PIANO,9,Note Symbols and Counting,(unassigned palace 9),practice/images/piano/9.png,1,,
PALACE_PIANO_10,STUDY_PIANO,10,Reading and Hand Posture,Elvis Presley,practice/images/piano/10.jpg,2,,
PALACE_SCIENCE_01,STUDY_SCIENCE,1,What your sample says vs. what the world might say,Marie Curie,practice/images/science/1.png,2,,
PALACE_SCIENCE_02,STUDY_SCIENCE,2,The Comparative Method of Valuation,Steve Jobs,practice/images/science/2.png,4,,
PALACE_SCIENCE_03,STUDY_SCIENCE,3,Conjoint Analysis Basics,Tony Stark (Iron Man),practice/images/science/3.png,5,,
PALACE_SCIENCE_04,STUDY_SCIENCE,4,Calculating Share and Demand,(unassigned palace 4),practice/images/science/4.png,3,,
PALACE_SCIENCE_05,STUDY_SCIENCE,5,Research Bias,Daenerys Targaryen,practice/images/science/5.png,4,,
PALACE_SCIENCE_06,STUDY_SCIENCE,6,Science vs. Pseudoscience,Albert Einstein,practice/images/science/6.png,5,,
