id,beast_id,kind,zone,zone_label,context,quote,narrative,ipa,sensory_channel,sort_order
ATOM_0022,BEAST_ENGLISH_01_A,single,,,"Arachne hangs from the stone. She is making a big web. She does not finish it. Instead, she cuts the web right in the middle. She makes two parts to show you the structure is divided. This is the definition: The word ""cleft"" means divided.",,"Arachne hangs from the stone. She is making a big web. She does not finish it. Instead, she cuts the web right in the middle. She makes two parts to show you the structure is divided. This is the definition: The word ""cleft"" means divided.",,,1
ATOM_0023,BEAST_ENGLISH_01_B,single,,,"Next to her, a Bird of Paradise opens its colorful feathers. It wants you to look at a passport on the ground. It hits a fake passport to fix the mistake. It makes a loud noise at a traveler. The bird says: ""Her passport? No. It was my pass",,"Next to her, a Bird of Paradise opens its colorful feathers. It wants you to look at a passport on the ground. It hits a fake passport to fix the mistake. It makes a loud noise at a traveler. The bird says: ""Her passport? No. It was my passport that she dropped."" This shows why we use cleft sentences: For Emphasis and Correction.",,,1
ATOM_0024,BEAST_ENGLISH_01_C,single,,,"Down the street, a Cat sits on a government paper. You try to move the cat, but it stays there. It shows that this is the paper you need. The cat says: ""It's form B6115 that you need."" This shows the It-Cleft Structure: It plus ""to be"" plus",,"A Dragon goes to a party. Mickey and Minnie Mouse are the hosts. The hosts are plural (two people). But the Dragon uses fire to make them use a singular verb. He shouts: ""It is Matt and Jessica who are having the party, not me."" The rule is: Use the singular ""Be,"" even for plural subjects.",,,1
ATOM_0025,BEAST_ENGLISH_01_E,single,,,"High up, an Eagle holds a famous book in its claws. It shouts the name of the author to everyone below. ""I believe it was Shel Silverstein who wrote The Giving Tree."" The Eagle shows you the Relative Pronouns: Who or That.",,Go to the second street.,,,1
ATOM_0026,BEAST_ENGLISH_02_F,single,,,"A Frog watches words fly by. It sees a ""Subject"" and a ""Verb."" Then it sees the word ""that."" The word ""that"" acts as an object. The Frog uses its tongue to catch and eat the word. The rule is: If you have a subject and a verb after your rel",,"A Frog watches words fly by. It sees a ""Subject"" and a ""Verb."" Then it sees the word ""that."" The word ""that"" acts as an object. The Frog uses its tongue to catch and eat the word. The rule is: If you have a subject and a verb after your relative pronoun, you can take it out.",,,1
ATOM_0027,BEAST_ENGLISH_02_G,single,,,"A Goat chews on an empty wallet. It shouts loudly. It says the ""Wh-clause""—the thing ""What we need""—must be money. It cries: ""What we need is more money."" This shows the Wh-Cleft Structure.",,"A Goat chews on an empty wallet. It shouts loudly. It says the ""Wh-clause""—the thing ""What we need""—must be money. It cries: ""What we need is more money."" This shows the Wh-Cleft Structure.",,,1
ATOM_0028,BEAST_ENGLISH_02_H,single,,,"The Hydra holds a heavy car battery in its main head. It moves the battery all the way to its tail. It changes the order, but the meaning is the same. The sentence flips: ""A new battery is what you need."" This shows you can reverse Wh-Cleft",,"The Hydra holds a heavy car battery in its main head. It moves the battery all the way to its tail. It changes the order, but the meaning is the same. The sentence flips: ""A new battery is what you need."" This shows you can reverse Wh-Clefts.",,,1
ATOM_0029,BEAST_ENGLISH_02_I,single,,,"An Imp paints a big word ""IS"" on the wall. A big pile of plural nouns falls on him. Even with the heavy weight, he says the verb must be singular. The rule is: The Wh-clause is singular. Even if your noun is plural, use is or was.",,"Example: ""What they need is more time."" (Not ""are""—use is even though ""they"" is plural.)",,,1
ATOM_0030,BEAST_ENGLISH_02_J,single,,,"The Jester points at the Imp and laughs. He uses the word ""That"" to talk about the whole thing. He says: ""That's what I'm talking about."" This shows you can use ""That"" to talk about what just happened.",,Go to the last street.,,,1
ATOM_0031,BEAST_ENGLISH_03_K,single,,,"A small Kitten sleeps at the bottom of a black stone. It does not want toys or food. It shows that the only thing it wants is rest. It says: ""All I want is more sleep."" This is the ""All"" Cleft. Here, ""All"" means ""the only thing.""",,"A small Kitten sleeps at the bottom of a black stone. It does not want toys or food. It shows that the only thing it wants is rest. It says: ""All I want is more sleep."" This is the ""All"" Cleft. Here, ""All"" means ""the only thing.""",,,1
