id,plan_id,section_path,text,checked,sort_order
PITEM_0001,PLAN_0001,Backlog,dumb zone,0,1
PITEM_0002,PLAN_0001,Backlog,Meta prompt,0,2
PITEM_0003,PLAN_0001,Backlog,"ETL (Extract, Transform, Load)",0,3
PITEM_0004,PLAN_0001,Backlog,Data lake,0,4
PITEM_0005,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Python Fundamentals and IDE Mastery,"Master variable types, loops, and functional programming in Python",0,5
PITEM_0006,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Python Fundamentals and IDE Mastery,Configure Cursor IDE for efficient code completion and debugging,0,6
PITEM_0007,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Python Fundamentals and IDE Mastery,Establish virtual environment discipline (venv/conda),0,7
PITEM_0008,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Python Fundamentals and IDE Mastery,Execute terminal operations seamlessly within the editor,0,8
PITEM_0009,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Applied Statistics and Linear Algebra,"Master descriptive statistics (mean, variance, standard deviation)",0,9
PITEM_0010,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Applied Statistics and Linear Algebra,"Map linear algebra concepts (matrices, vectors, dot products)",0,10
PITEM_0011,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Applied Statistics and Linear Algebra,"Calculate probability distributions (Normal, Binomial, Poisson)",0,11
PITEM_0012,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 1: Python Programming and Applied Statistics > Applied Statistics and Linear Algebra,Transition theoretical math into programmatic logic,0,12
PITEM_0013,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Data Manipulation with Pandas,Apply Month 1 statistical logic using Pandas DataFrames,0,13
PITEM_0014,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Data Manipulation with Pandas,"Master filtering, grouping, and aggregations (groupby, merge)",0,14
PITEM_0015,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Data Manipulation with Pandas,Handle missing values and execute data imputation techniques,0,15
PITEM_0016,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Data Manipulation with Pandas,Optimize script execution for large in-memory datasets,0,16
PITEM_0017,PLAN_0001,Phase 1: Mathematical Foundation and Data Manipulation (Months 1-3) > Month 2: Data Wrangling and SQL Integration > Relational Databases (SQL),Query structured data to feed Month 2 Pandas workflows,0,17
